cropid	cropname	primary(1)_secondary(2)_feed(3)	Edible_(1 yes)_(0isno)_(2isnonnutritinoal)	ProductionL	TradeL	FBS ID	FBS name	group	kcal/ton	Protein(g/ton)	Fat(g/ton)	Group	Groupnum
1140	Rabbits and hares	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1141	Rabbit meat	1		1	1	2735	"Meat, Other"	Meat	1180000	170000	50000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1146	Skins of Rabbits	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1150	Other Rodents	2		0	0		#N/A	#N/A	810000	162000	14000	16 - LIVESTOCK	16
1157	Other Camelids	2		0	0		#N/A	#N/A	1430000	146000	90000	16 - LIVESTOCK	16
1159	Offals Other Camelids	2		0	1	2736	"Offals, Edible"	Meat	1050000	184000	25000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1163	Game meat	1		1	1	2735	"Meat, Other"	Meat	1040000	180000	30000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1164	Meat Dried Nes	2		0	1	2735	"Meat, Other"	Meat	2500000	554000	15000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1166	Meat nes	2		0	1	2735	"Meat, Other"	Meat	1260000	164000	60000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1167	Offals Nes	2		0	1	2736	"Offals, Edible"	Meat	1050000	184000	25000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1168	"Oils,Fats of Animal Nes"	2		0	1	2737	"Fats, Animals, Raw"	Meat	9020000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1169	Live Animals Non Food	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1171	Animals Live Nes	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1172	Prepared Meat Nes	2		0	1	2735	"Meat, Other"	Meat	2420000	206000	169000	17 - PRODUCTS FROM SLAUGHTERED ANIMALS	17
1173	Meal Meat	3		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
1181	Beehives	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	16 - LIVESTOCK	16
1182	Natural honey	1		1	1	2745	Honey	Sugar	2980000	4000	0	3 - SUGAR CROPS AND SWEETENERS AND DERIVED PRODUCTS	3
1183	Beeswax	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	18 - PRODUCTS FROM LIVE ANIMALS	18
1185	"Silk-worm cocoons, reelable"	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN	9
1186	Silk Raw	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN	9
1187	Cocoon Unr.&Waste	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN	9
1195	Skin Furs	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1214	Hides Wet Salted Nes	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1215	Hides Dry Slt Nes	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1216	Hides Nes	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1217	Leather Use&Waste	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	19 - HIDES AND SKINS	19
1218	Hair Fine	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN	9
1219	Hair Coarse Nes	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	9 - FIBRES OF VEGETAL AND ANIMAL ORIGIN	9
1221	Lard Stearine Oil	2		0	0	2737	"Fats, Animals, Raw"	Meat	#N/A	#N/A	#N/A	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1222	Degras	2		0	0	2737	"Fats, Animals, Raw"	Meat	#N/A	#N/A	#N/A	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1225	Tallow	2		0	0	2737	"Fats, Animals, Raw"	Meat	#N/A	#N/A	#N/A	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1232	Food Prep Nes	2		0	1		#N/A	#N/A	410000	12000	5000	13 - TOBACCO AND RUBBER AND OTHER CROPS	13
1241	Liquid Margarine	2		0	1	2586	"Oilcrops Oil, Other"	Oil	7200000	6000	810000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1242	Margrine Short	2		0	1	2586	"Oilcrops Oil, Other"	Oil	7200000	6000	810000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1243	Fat Prep Nes	2		0	1	2737	"Fats, Animals, Raw"	Meat	7200000	6000	810000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1259	"Food Waste,Prep. for Feed"	3		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	11 - FODDER CROPS AND PRODUCTS	11
1274	Oil Boiled Etc	2		0	1	2586	"Oilcrops Oil, Other"	Oil	9020000	0	1000000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1275	Oil Hydrogenated	2		0	1	2586	"Oilcrops Oil, Other"	Oil	7200000	6000	810000	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1276	Fatty Acids	2		0	0	2577	Palm Oil	Oil	#N/A	#N/A	#N/A	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1277	Res.Fatty Subs	2		0	0	2577	Palm Oil	Oil	#N/A	#N/A	#N/A	20 - OTHER LIVESTOCK PRODUCTS	20
1293	Crude Materials	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	13 - TOBACCO AND RUBBER AND OTHER CROPS	13
1295	Spermaceti	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	14 - VEGETABLE AND ANIMAL OILS AND FATS	14
1296	Waxes Vegetable	2		0	0		#N/A	#N/A	#N/A	#N/A	#N/A	13 - TOBACCO AND RUBBER AND OTHER CROPS	13
